col,name,label,type,formula,description
trig_L2_cl_et,et,$E_T$,var,,Transverse particle energy on the calorimeter (L2Calo stage)
el_et,et,$E_T$,var,,Transverse particle energy on the calorimeter (Offline stage)
trig_L2_cl_eta,eta,$\eta$,var,,Pseudorapidity (L2Calo stage)
el_eta,eta,$\eta$,var,,Pseudorapidity (Offline stage)
trig_L2_cl_reta,reta,$R_{\eta}$,shower_shape,$R_{\eta} = \frac{E^{3x7}_{EM2}}{E^{7x7}_{EM2}}$,Ratio of the energy in 3x7 cells over the energy in 7x7 cells centred at the electron cluster position on EM2 (L2Calo Stage)
trig_L2_cl_eratio,eratio,$E_{ratio}$,shower_shape,$E_{ratio} = \frac{E^{max}_{EM1} - E^{2^{nd}max}_{EM1}}{E^{max}_{EM1} + E^{2^{nd}max}_{EM1}}$,Ratio of the energy difference between the maximum energy deposit and the energy deposit in a secondary maximum in the cluster to the sum of these energies (L2Calo Stage)
trig_L2_cl_f1,f1,$f_1$,shower_shape,$f_1 = \frac{E^{total}_{EM1}}{E^{total}_{EM}}$,Ratio of the energy in the first layer to the total energy in the EM calorimeter (L2Calo Stage)
trig_L2_cl_ehad1,ehad1,$E_{had1}$,unidentified,,Unidentified (L2Calo Stage)
trig_L2_cl_f3,f3,$f_3$,shower_shape,$f_3 = \frac{E^{total}_{EM3}}{E^{total}_{EM}}$,"Ratio of the energy in the third layer to the total energy in the EM calorimeter. This variable is only used for et < 80 GeV, due to inefficiencies at high et, and is also removed from the LH for |eta| > 2.37, where it is poorly modelled by the simulation (L2Calo Stage)"
trig_L2_cl_wstot,wstot,$\omega_{stot}$,shower_shape,$\omega_{stot} = \sqrt{\frac{\Sigma(E_i - E_{i}^{max})^2}{\Sigma E_i}}$,Shower width er > 150 GeV only on EM1 (L2Calo Stage)
trig_L2_cl_weta2,weta2,$\omega_{\eta^2}$,shower_shape,$\omega_{\eta2} = \sqrt{\frac{\Sigma E_i \: X\:  \eta^2_{i}}{\Sigma E_i} -(\frac{\Sigma E_i \: X \: \eta_{i}}{\Sigma E_i})^2}$,Lateral shower width on EM2 (L2Calo Stage)
trig_L2_cl_e2tsts1,e2tsts1,e2tsts1,unidentified,,Unidentified (L2Calo Stage)
el_TaP_deltaR,dr,$\Delta R$,var,,angular separation between particles from same decay (L2Calo Stage TaP only)
el_rhad,rhad,$R_{had}$,shower_shape,$R_{had} = \frac{E^{HAD1}_{T}}{E^{EM}_{T}} \; |\eta| < 0.8 \;\cup \; |\eta| > 1.37$,Ratio of et in the first layer of the hadronic calorimeter to et of the EM cluster (used over the range 0.8<|eta|1.37) (Offline stage)
el_rhad1,rhad1,$R_{had1}$,shower_shape,$R_{had1} = \frac{E^{HAD1}_{T}}{E^{EM}_{T}} \; 0.8 < |\eta| < 1.37$,Ratio of et in the first layer of the hadronic calorimeter to et of the EM cluster (used over the range |eta| < 0.8 or |eta| > 1.37) (Offline stage)
el_rphi,rphi,$R_{\phi}$,shower_shape,$R_{\phi} = \frac{E^{3x3}_{EM2}}{E^{7x7}_{EM2}}$,Ratio of the energy in 3x3 cells over the energy in 3x7 cells centred at the electron cluster position on EM2 (Offline stage)
avgmu,mu,$<\mu>$,var,,Collision Pileup
